ACCOUNT_NO,NAME,AGE,COUNTRY,GENDER,ACCOUNT_STATUS,LAST_UPDATED_DATE,CREATED_DATE
LIYW09232987576976,Dawn Morales,,Korea,M,Closed,1995-04-18 15:37:44,1988-01-31 01:54:09
ZWFC34847404552052,Steven Mcclain,,Bangladesh,F,Hold,1999-07-20 01:12:10,2009-05-31 00:10:02
HOXG17467829948614,Michelle Wolfe,,United States Minor Outlying Islands,M,Hold,2003-02-11 19:02:03,1977-07-04 15:54:45
LOXZ17989423986327,Melissa Jefferson,,Poland,M,Open,1998-10-27 10:06:30,1997-09-16 19:05:17
HHLD77616094825267,David Small,,Antarctica (the territory South of 60 deg S),M,Closed,1988-05-11 17:56:00,1981-11-11 04:08:46
ZEKS08071325194692,Robert Adams,,Papua New Guinea,F,Open,2007-10-03 11:47:22,2013-07-30 20:12:47
IERM63661271630502,William Harmon,,Cuba,F,Hold,1982-02-23 03:59:43,1984-09-21 07:12:33
SBRA45033780862942,Paul Hess,,Brazil,M,Closed,1980-06-28 07:03:30,1987-11-22 13:43:21
PKCG61942186238879,Lisa Torres,,Bahamas,F,Hold,1979-10-10 16:02:19,1990-02-21 23:51:23
ZKTH63696783327341,Randall Roberts,,Paraguay,M,Open,2015-06-14 11:10:17,1987-07-28 12:49:15
OSDF44837340950480,Dylan Lamb,,Kenya,M,Closed,2014-11-27 01:32:45,1984-06-07 09:15:01
FPDQ15961612462828,Eddie Jacobs,,Cameroon,M,Closed,2006-05-01 08:47:38,2021-10-12 07:50:16
FHOK10823573401560,Michael Stone,,United States of America,F,Closed,1979-11-05 17:39:42,1996-07-10 20:16:11
JWST36474966513658,Kevin Perry,,Ethiopia,M,Open,1995-07-10 19:40:20,1974-06-02 06:07:21
QMHA92522906787302,Joshua Henry,,Uzbekistan,F,Hold,1971-06-16 18:36:19,1972-03-06 13:16:34
SORI74990532189060,Victoria Short,,Costa Rica,F,Open,1971-04-18 04:22:00,2017-12-06 18:08:35
SORK85340296678771,James Hensley,,France,M,Closed,1977-11-20 02:06:42,2006-06-09 12:16:25
KXOG90963794829680,Jaime Carter,,El Salvador,F,Hold,1996-01-16 09:09:33,1990-07-03 21:52:14
QLSG56498822219993,Sharon Morris,,Antigua and Barbuda,M,Open,1983-10-04 04:00:47,2003-04-11 00:43:55
JVNU73676333487015,Jeanne Guerrero,,Argentina,M,Closed,2003-10-02 16:51:10,1990-07-29 05:34:43
OVIZ01715559780112,Chad Ferguson,,Niue,M,Hold,2000-02-16 20:40:23,2005-08-15 21:59:37
AKVL03962975884487,Carl Alvarez,,Ukraine,M,Open,1988-07-27 21:06:57,2002-02-19 08:58:31
USTV26714793544000,Tony Spencer,,Malaysia,M,Hold,1970-08-25 10:14:24,1991-08-24 14:25:03
PTWB04883286443052,Marvin Miller,,French Southern Territories,F,Hold,1984-01-16 21:15:14,1992-02-01 00:10:04
BLJR72061263013560,Allison Blake,,China,F,Hold,1994-02-20 19:09:42,1982-09-11 17:15:29
STNU13971861158981,Wendy Best,,Maldives,F,Closed,2008-06-03 13:17:51,2014-03-22 12:10:12
IXXW60529776716944,Matthew Thomas,,Belize,M,Hold,1984-09-16 09:44:33,1971-10-16 01:41:24
CQJL70902919778945,Kayla Watson,,Portugal,F,Hold,1994-10-16 22:13:29,2012-04-27 19:50:01
URRL67385188609746,Austin Woodard,,Martinique,M,Open,2015-03-25 19:01:29,1990-06-24 19:21:58
RMPR58548557436306,Peter Blankenship,,Afghanistan,M,Hold,2010-12-07 12:45:46,2004-11-15 21:51:31
DFGD76043894739350,Tara Stone,,Pakistan,F,Closed,1971-11-28 12:42:19,1970-06-30 07:33:15
ZEZH53866395435321,Thomas Holland,,Tuvalu,M,Closed,2016-06-14 00:15:06,2003-11-23 23:02:18
FDWH51544138693875,Tammy Leblanc,,Bermuda,F,Open,1983-05-26 12:54:27,1998-09-08 23:05:53
SZZT67610286301444,Courtney Johnson,,Congo,M,Closed,1980-08-15 06:08:34,1978-08-21 09:24:34
QXNJ50352472061545,Thomas Reyes,,Taiwan,F,Closed,1989-09-08 05:33:04,1979-10-09 11:55:45
VRSG90050021606791,Judith Fox,,Syrian Arab Republic,F,Closed,2005-02-13 23:04:56,1987-02-10 23:49:44
SEWA84024321780986,Sheri Willis,,Dominican Republic,M,Open,1997-01-30 04:13:46,1990-06-20 11:30:33
YOMH91411817088926,Mr. Thomas Pacheco MD,,Tonga,F,Open,1972-01-25 01:16:21,1998-01-12 13:28:52
RVLC82038200494681,Anthony Cohen,,Cape Verde,M,Hold,2016-09-21 09:39:38,1979-03-16 14:10:46
ALJS46753749614168,Mary Hall DDS,,Azerbaijan,M,Closed,2008-05-14 23:35:47,1997-02-09 04:38:38
NFOQ79939931853930,Anthony Harvey,,Macao,M,Closed,1978-11-06 00:37:22,1970-08-25 14:37:02
LRKK64431946312494,Sharon Stevens,,Christmas Island,F,Closed,1980-10-12 10:34:49,1988-05-12 03:07:19
VIUK21398271652460,Jacob Garcia,,Algeria,M,Closed,2017-12-25 09:43:49,1973-11-10 00:36:30
OYBQ85293681613402,Alfred Thompson,,Mongolia,M,Open,1977-12-28 20:49:15,2006-06-06 04:45:01
LQQC45471493449340,Kelly Ruiz,,Colombia,M,Hold,2003-07-20 01:03:32,2017-03-06 22:03:59
TLRW88524056798140,Elizabeth Sims,,Pakistan,M,Open,1974-03-20 18:44:15,2001-02-02 21:58:06
USTC06150578272487,Patricia Price,,Finland,F,Open,1990-05-19 05:34:55,2017-06-28 10:39:47
FKTI89372330219128,Traci Brown,,El Salvador,M,Hold,1990-06-04 23:08:31,1982-01-14 10:44:27
JOOD00458052311758,Kevin White,,Andorra,M,Closed,1994-08-04 22:47:43,1979-10-24 08:01:01
UYEU47656043076634,Jamie Figueroa,,Indonesia,M,Hold,1985-11-05 05:30:03,1979-04-28 06:06:46
VTYF25410413005072,Gloria Benson,,Croatia,M,Open,2010-04-23 10:19:23,2019-06-14 15:13:14
EFKT68459376091735,Brent Savage,,Bhutan,F,Open,1993-12-07 18:35:59,1985-09-26 12:40:10
NFBD71324952479413,John Howard,,Vanuatu,M,Hold,1990-05-06 19:48:58,1977-02-11 17:28:55
YAFD47930399133154,Craig Jarvis,,Paraguay,M,Closed,2015-09-19 23:10:43,1981-06-22 17:21:01
STEL53550615961314,Brian Petersen,,Saint Helena,M,Closed,2015-06-26 08:46:12,2003-01-25 17:37:20
BWTZ35803229970033,Shannon Hart,,Vietnam,M,Closed,1970-05-31 18:36:57,1989-10-11 08:07:02
QONT02075218005016,Michelle Shields,,Poland,M,Closed,2008-09-07 03:27:41,1973-11-17 09:34:42
DCRY47976397725789,Andrew Stone,,Dominican Republic,F,Open,1998-03-27 07:46:03,2004-03-11 12:46:45
TZJD40688924896887,Renee Campos,,Burkina Faso,F,Closed,1989-03-14 23:42:44,2009-09-08 22:42:09
MGSS90348664333671,Wayne Stephenson,,Bolivia,F,Hold,1975-01-19 18:40:07,2022-05-14 17:41:51
USTW45764251323959,Michelle Gonzalez,,Cocos (Keeling) Islands,M,Open,2022-01-18 04:51:24,1999-08-20 02:37:39
EPHB68712752953181,Matthew Schneider,,Nauru,M,Open,2002-05-22 09:42:24,1996-08-15 14:56:04
WHJR98769511710174,Christopher Kelly,,Czech Republic,M,Hold,1987-01-05 08:29:01,2015-11-16 18:03:30
ECMR68144524493204,Stephanie Christensen,,Mauritius,M,Open,2006-12-05 22:58:53,1986-10-31 19:38:00
KNTZ85976877049054,Lori Soto,,Guernsey,M,Hold,1987-09-05 10:43:32,2002-04-10 16:17:50
XWOS02909832971561,Anna Cohen,,Saudi Arabia,M,Open,1983-01-16 14:51:01,1999-06-06 23:08:26
KRLR55658973002436,Krista Davis,,Turkmenistan,M,Open,1971-11-21 12:53:10,2011-08-29 10:49:30
PZGP42480166021115,Jacob Miller,,Italy,F,Closed,1975-09-18 16:30:33,2021-09-28 12:25:22
QOBM66271856617359,Wendy Watson,,Somalia,F,Hold,2007-05-29 08:08:52,2007-12-29 15:13:21
EHXD81241763865437,Maria Rodriguez,,Tuvalu,M,Open,1992-08-30 17:12:50,2004-12-10 22:24:11
KMDU03682540149923,Adrian Gonzalez,,Guinea,M,Closed,2006-04-11 18:34:34,1971-04-23 09:43:05
HCVW28292670470441,Carrie Obrien,,Poland,M,Hold,1978-04-04 00:26:48,2000-05-06 23:19:46
RGVU96647493152360,Matthew Wilson,,Mexico,M,Open,2006-03-21 04:41:59,1993-12-31 01:11:28
XBDI26670120260655,Ryan Graves,,Senegal,F,Open,2022-05-05 06:51:38,1986-10-01 15:57:13
VPLB45462782966519,Melanie Turner,,Tajikistan,F,Closed,1983-12-09 10:39:09,2012-08-01 06:16:07
DBLL07280078252801,Natalie Gutierrez,,Germany,F,Closed,2011-10-27 23:19:02,2006-05-02 14:35:44
ONSJ28505051414026,Krista Williams,,Bangladesh,F,Hold,1994-11-03 09:34:53,2008-11-10 17:46:12
BFAY78895569638721,Nicole Robles,,Sierra Leone,M,Closed,2017-03-09 12:24:19,1979-01-15 19:49:34
ZOBO13168508000959,Sarah Harrison,,Heard Island and McDonald Islands,F,Closed,2013-12-31 21:08:23,1979-08-30 14:52:08
TRNH20258297099453,Dr. James Pierce,,Russian Federation,F,Closed,1992-09-18 01:03:27,1971-04-14 02:41:38
MZVR10927118117326,Joseph Fernandez,,Chad,M,Closed,1973-05-11 14:02:51,1984-02-25 23:29:26
QCTB37131126225057,Ashley Lyons,,Albania,F,Closed,2012-06-09 22:26:33,1984-06-09 13:02:02
JORK40122644994912,James White,,Palestinian Territory,F,Open,1971-05-28 16:47:46,1983-01-07 19:51:49
TKEP45205360152474,Deborah Dixon,,Sierra Leone,M,Open,2002-10-20 13:19:08,1991-02-10 20:47:34
USFC75572513991521,Monica Neal,,Korea,M,Open,1996-02-22 10:16:58,2003-01-10 13:54:52
NWYB27919392244895,Tyler Conley,,Italy,M,Open,2010-09-02 05:03:49,2009-07-24 16:03:55
TYFU44041531281612,Victoria Allen,,Cameroon,F,Open,2008-10-12 08:42:00,2003-06-18 11:13:04
UBBW77138167024803,Scott Park,,Greenland,F,Hold,1977-12-14 07:20:07,1979-11-01 12:03:02
AZXW13486194634922,Daryl Brown,,Mauritius,M,Open,1982-11-05 19:19:15,1999-08-31 11:50:56
FTPL40558615441654,Rodney Tran,,Qatar,F,Open,1982-06-05 21:21:23,1988-09-20 21:46:36
CKQG46283021543103,Jacqueline Anderson,,Niger,M,Open,1994-06-08 02:25:02,2005-02-16 14:55:00
KVRH65271581133107,Charles Williams,,Micronesia,F,Hold,2000-08-15 18:56:22,2017-02-18 19:01:42
SKSG94617811351676,Michelle Hensley,,Palestinian Territory,M,Open,1991-05-03 21:04:44,1995-05-03 10:05:38
QRAQ77572973958918,Brian Ball,,Algeria,F,Open,1986-10-05 14:03:23,1985-07-27 00:17:40
JAGR15641093993559,John Hayes,,Costa Rica,M,Hold,1982-03-15 00:40:48,2022-04-02 15:39:36
NZOX84043554122654,Teresa Young,,Kyrgyz Republic,M,Closed,2018-09-08 18:44:00,1977-12-09 11:56:17
ESPX98689292877051,Kristina Caldwell,,Greenland,M,Closed,1990-05-08 03:35:32,1974-11-14 16:14:46
HSAY82242122684799,Vicki Moore,,Holy See (Vatican City State),M,Hold,2018-02-19 10:42:07,1972-08-04 03:29:30
HGDY44905214678901,Adam Miles,,United Arab Emirates,F,Hold,1982-10-16 20:12:39,2004-04-25 21:31:01
RJKQ33747863388035,Joshua Phelps,,Isle of Man,F,Closed,1982-05-23 21:26:34,2014-09-03 09:16:40
FIDX84264489653657,Shannon Simpson,,Myanmar,M,Hold,2020-05-31 11:36:51,2006-01-18 14:46:09
VLGC64521336474586,Catherine Gutierrez,,Iraq,M,Open,1981-07-18 14:44:10,2010-02-12 02:49:53
DCUY58322966986427,Sonia Obrien,,Swaziland,M,Open,2007-07-24 18:36:59,2020-05-14 12:09:18
FOEM32901106410233,Anthony Davidson,,Denmark,F,Closed,1975-12-18 09:19:17,1990-02-26 05:27:05
RDPY40849497546594,Dawn Herman,,Guinea,F,Closed,1981-08-21 20:55:10,1999-05-25 08:36:48
QOQO71831896103637,Rachel Williams,,Guernsey,F,Open,2007-07-19 04:19:01,1975-07-23 09:01:47
TIUK36291874038822,Jeanette Griffith,,Burkina Faso,F,Hold,1989-03-25 14:24:20,1976-10-10 10:04:04
MUKT92984237136368,Tara Williams,,San Marino,M,Open,2002-10-06 07:36:32,2005-12-17 05:00:36
RAFP34056842962795,Latasha Crane,,Anguilla,F,Closed,2018-01-09 16:00:17,1988-08-14 06:16:14
RVVA24711062950392,David Clark,,Seychelles,F,Open,1995-05-04 12:26:04,2000-05-20 18:35:40
IHVK63824140230944,Brittany Jimenez,,Zimbabwe,F,Hold,1979-02-04 14:20:46,1990-10-15 00:45:48
AFEH28551528359471,Bruce Fisher,,Guatemala,M,Closed,2022-09-07 10:28:05,1982-02-18 08:31:57
CHEZ91975195165954,Rachel Morgan,,Timor-Leste,M,Closed,1991-04-13 11:21:11,2011-03-13 00:45:32
JLJQ55879554585105,Maureen Barron,,Mexico,M,Hold,1999-10-14 17:35:03,2019-10-08 03:59:00
XCSC76556512027110,Amanda Davis,,Kenya,M,Closed,1976-07-08 02:02:11,2007-02-01 15:43:29
CDIP24814174803391,David Robertson,,Peru,M,Hold,2001-04-04 20:51:09,1983-12-30 19:13:50
JKUT04746270250975,Kelly Lewis,,Jamaica,M,Closed,1977-09-12 13:04:02,2017-07-08 23:27:09
OGDR39919595834585,Michael Page,,Russian Federation,F,Hold,2015-03-15 16:14:39,2015-01-09 11:13:29
HOAL39781088209613,Elizabeth Bowen,,Martinique,F,Hold,2002-06-20 12:45:23,2020-04-11 15:54:05
AAJM86988929200284,William Hughes,,Vanuatu,F,Closed,2007-10-15 19:29:39,2013-11-30 12:39:35
YYCR65215340194889,Stephanie Thomas,,India,M,Closed,2021-09-03 13:56:08,2009-03-03 15:43:42
OUYA71161695625476,Cheryl Washington,,Montenegro,M,Hold,1973-07-08 15:01:47,1974-08-12 15:56:20
QFVL99598267994326,Anthony Collins,,Haiti,M,Hold,1983-02-12 05:13:18,2017-06-29 07:16:04
ELMH02978505069895,Joseph Wells,,Heard Island and McDonald Islands,M,Open,1983-01-31 02:38:56,2016-05-27 18:15:42
CWMI42640549653397,Benjamin Fernandez,,Botswana,F,Hold,1985-04-11 15:08:37,2015-04-14 22:26:33
HSQV68181455139049,Tracy Lowery,,Portugal,F,Hold,2011-07-08 12:18:13,1993-03-20 12:46:57
TMJM52286234573606,Dana Wise,,Sri Lanka,F,Open,1976-04-19 21:32:39,2016-01-03 05:41:30
KBRH05698264130248,John Parks,,Angola,F,Open,2019-01-28 04:36:01,2021-08-13 06:28:14
XFIC48370024742891,Susan Miller,,Estonia,M,Open,2007-06-04 14:59:10,1991-05-31 00:43:27
NEHI97162998789445,Jennifer Allen,,South Georgia and the South Sandwich Islands,M,Open,1990-10-01 07:33:11,1987-07-09 22:37:14
PDGF10085847044627,Claudia Lewis,,Nigeria,M,Closed,1970-06-25 15:06:38,1996-02-05 06:47:53
YZPY58032666353226,Jill Hawkins DVM,,Togo,M,Hold,1972-06-19 00:35:40,1994-02-23 04:18:17
KVID70740930251991,Melissa Stephenson,,Dominican Republic,F,Open,1980-07-04 04:26:45,2017-06-08 13:06:13
ILIA75288693521760,Dustin Hudson,,Czech Republic,M,Hold,2021-04-11 21:12:24,2001-11-09 15:30:22
GUUI48450796550636,Amanda Mitchell,,Holy See (Vatican City State),M,Closed,2001-03-01 10:35:47,1976-11-08 12:38:14
EPUU68603436109360,Joshua Gonzalez,,Tonga,F,Open,1980-12-09 20:38:07,1973-01-25 01:39:03
JMGS28390933051304,Jeremy Austin,,Slovakia (Slovak Republic),M,Hold,1988-12-15 18:24:45,2017-05-14 12:42:41
RLDA90335408744771,Lindsay Bentley,,Montenegro,M,Hold,2011-07-17 17:45:07,1994-04-14 13:43:10
UFOV82183676640889,Jacob Castaneda,,Malawi,F,Open,1995-04-05 16:16:29,2010-06-10 16:16:08
QEVE08812807857096,Pamela Spencer,,Macao,M,Hold,1973-07-01 04:13:54,2006-08-19 04:25:38
TAWJ23263930267834,Gerald Arnold,,Falkland Islands (Malvinas),M,Open,1991-04-14 17:12:48,2022-07-04 13:43:04
SDCT23063744125083,Jasmine Bishop,,Korea,M,Hold,1974-08-26 12:54:23,2011-06-11 10:11:03
DWSS88503295057018,Gina Riley,,Macao,F,Open,1979-07-23 06:41:31,1982-02-18 07:19:00
KZUJ28385083564387,Kiara Shepard,,Eritrea,F,Closed,2019-02-23 22:21:00,1993-07-18 00:13:24
JIMD40812887486987,Yolanda Ortiz,,Western Sahara,M,Open,2005-06-06 08:27:41,1991-04-17 22:23:43
FVZG37602816665554,Brooke Terrell,,Papua New Guinea,F,Open,1984-12-06 13:24:30,1989-07-19 09:46:35
JIWJ85963412085036,Michael Scott,,Marshall Islands,M,Hold,2004-04-26 18:00:43,1993-03-03 05:13:05
VTNV50471854015060,Tara Davis,,Macao,M,Hold,1983-06-20 07:24:31,2018-10-12 05:20:36
HYDC97766807304686,Austin Tucker,,Kiribati,F,Hold,2012-07-16 07:51:55,2015-02-18 09:19:32
UJIY20196702874674,David Meyer,,Cook Islands,M,Open,2007-10-15 15:09:39,1994-08-31 08:05:32
MFUN52565759233885,Harold Sanders,,Mayotte,M,Open,1971-03-01 22:27:23,1980-07-28 06:52:53
UMLM68621067338486,Jake Rivera,,Panama,M,Closed,2021-08-27 19:52:13,2011-07-18 04:47:03
BWQO05719543990446,Phillip Hubbard,,Honduras,F,Closed,1993-06-20 05:38:10,2013-07-04 08:32:50
SNJH24541069265804,Frank Dickson,,Falkland Islands (Malvinas),F,Hold,2017-04-03 13:27:47,2019-09-19 06:40:04
WGEF86275036602655,Sandra Pugh,,Honduras,M,Open,2010-05-17 17:27:08,2012-08-27 04:25:36
JMVT95090688892255,Lisa Johnson,,Singapore,M,Hold,1999-01-09 21:18:32,2017-11-27 14:20:40
EULR06443129892364,Timothy Peterson,,Svalbard & Jan Mayen Islands,F,Open,1970-02-11 17:19:18,2016-10-02 06:01:09
URFZ37231863259470,Angela Patterson,,Niue,M,Open,1973-12-25 10:57:27,1979-03-04 02:51:03
UHLF41192145507234,Leslie Morris,,Bolivia,M,Open,1990-03-10 15:07:06,2000-02-13 02:41:40
PVLY67700327109568,Shelby Lindsey,,Congo,F,Hold,1998-08-15 06:31:53,1992-03-26 23:29:26
VQJE77349848770522,Danielle Crosby,,Argentina,M,Open,1988-01-10 10:15:02,2010-08-20 22:37:36
EXIZ30064627608830,Stephanie Richardson,,Jordan,F,Open,1979-01-11 05:54:50,1983-10-21 00:08:09
BRQG49444059421354,Matthew Horn,,Taiwan,F,Hold,1974-06-04 21:16:28,2014-06-05 22:44:01
FIVO14521655807962,Carlos Santiago,,Dominica,M,Closed,1999-05-19 11:35:27,2015-09-27 15:49:45
LSKM13991452857111,Jeffery Long,,Colombia,M,Closed,2012-07-21 03:53:39,1980-02-07 09:59:54
PFFA33709993723885,Dr. Destiny Armstrong,,Bahamas,M,Hold,1993-10-11 15:17:23,2011-01-04 07:09:37
AFVZ85100580360434,Mrs. Tiffany Pope,,Mali,F,Closed,1984-06-05 08:27:33,1986-05-02 13:37:24
PZYB02501021656897,Mrs. Shannon Craig MD,,Tokelau,F,Open,2008-10-07 00:00:40,1977-10-12 02:01:42
VUGM39072055282348,Brandi Cook,,Kazakhstan,M,Hold,2008-02-28 01:52:09,2018-05-10 23:16:58
RJIV90880371915778,Jordan Morris,,Honduras,F,Hold,1985-02-08 20:56:46,1970-01-18 08:38:35
DLWL60761392985417,Adam Morris,,Chad,M,Hold,1971-03-12 07:51:02,1994-12-18 16:50:11
RJGH65756960138013,Anthony Garza,,Vanuatu,M,Hold,1990-09-04 04:06:34,1997-09-26 04:38:37
SUIT74390852965848,Hailey Harrell,,Togo,M,Closed,1988-11-29 15:39:45,1992-12-10 19:07:54
MBUG88850382891369,Isaiah Boyd,,Greenland,F,Closed,1996-08-31 07:57:22,1978-10-20 00:29:45
VUNF17279674414217,Daniel Copeland,,Canada,M,Closed,2006-07-01 05:47:52,1976-12-30 05:58:22
VMVI62091974455153,Teresa Hernandez,,Moldova,M,Open,1993-05-08 16:04:51,2020-04-22 12:36:16
DGKP04302493259340,Kirsten Booker,,Congo,F,Open,2008-10-02 14:49:13,2013-02-08 23:27:22
XYKL37265044830861,Linda Everett,,Eritrea,F,Hold,1977-04-14 00:59:46,2004-02-18 11:48:17
HLTE93001809827341,Derek Singh,,Saint Pierre and Miquelon,M,Hold,1992-08-01 23:51:50,2007-08-06 23:20:57
GRZR64941345427152,Jane Nelson,,Bahamas,M,Hold,1995-07-31 21:36:27,2004-11-09 18:56:19
CQBH87658818822445,Samuel Wagner,,Ecuador,F,Hold,1979-01-03 22:21:55,1972-09-05 08:16:47
SQFZ35910055763631,Christina Valentine,,British Indian Ocean Territory (Chagos Archipelago),M,Open,2020-03-19 22:32:01,2017-10-12 11:28:23
GYCF06171060342840,Sara Park,,Namibia,F,Closed,2020-11-19 19:26:57,1990-06-17 06:53:37
IRYT39718410795201,Chelsea Johnson,,Bangladesh,M,Open,1990-11-03 02:11:50,2017-06-10 17:21:46
JJXQ64589264234388,Tracy Rhodes,,Turks and Caicos Islands,F,Closed,1976-12-08 11:16:26,2018-01-16 15:57:38
BROP16643885256506,Rhonda Bishop,,Saint Pierre and Miquelon,F,Hold,2005-02-21 22:52:51,1987-04-06 17:00:35
LYIS40554781511317,Matthew Fitzpatrick,,Marshall Islands,F,Closed,1992-04-07 03:57:24,2000-01-07 02:51:31
RMBJ31600257838781,Melissa Anderson,,Tokelau,F,Open,2002-12-18 10:45:00,1999-03-08 01:56:32
TICS30815805576298,Jeremy Dominguez,,Myanmar,M,Closed,1988-09-21 10:22:37,1979-08-24 09:16:42
SREC65970586476160,Zachary Rivera,,Serbia,M,Closed,1989-08-06 08:12:22,1988-08-03 10:34:28
RDXB11319120642180,Lauren Murray,,Macao,F,Hold,1977-01-31 14:12:25,1987-10-01 04:03:46
GPOH53937248694603,Monica Harrell,,Botswana,F,Hold,1975-08-22 05:35:59,2021-10-11 10:28:29
KRDK23160513134015,Trevor Gould,,Niue,F,Open,2018-02-06 12:43:57,2017-06-19 11:52:19
ODGJ41035755156508,Daniel Ford,,Burkina Faso,F,Closed,1972-12-15 06:27:39,2003-09-05 09:30:34
YZEP67897872284933,Thomas Mcgee,,Liechtenstein,M,Hold,2007-06-20 06:10:01,2008-06-19 23:23:46
MCEA59270884393302,Dawn Brown,,Syrian Arab Republic,F,Closed,1984-02-18 11:43:49,2022-01-23 05:23:30
JKMF87934626286044,Mary Baldwin,,Macao,M,Open,1994-08-03 11:11:42,2010-09-24 03:40:09
YTEP69756366339597,Debbie Richardson,,Chad,M,Closed,1982-11-10 17:12:44,1994-06-23 17:05:09
DAII44288000995347,Susan Jensen,,Norway,F,Closed,2000-09-21 22:38:15,2010-10-16 00:57:15
VKPA94367990743746,Tracy Holmes,,Chile,F,Hold,1976-04-23 12:57:44,2004-06-25 08:27:15
YLSF09314245355556,Mr. Hunter Clements,,Namibia,F,Hold,1992-05-10 06:03:47,1971-11-13 15:40:02
CNIU31507189862459,William Wilson,,Vanuatu,M,Open,1999-09-16 03:50:19,1982-10-28 16:48:24
TGUH21610540512816,Daniel Lam,,Germany,M,Hold,2006-05-01 07:01:59,2000-02-24 20:56:42
BMTU68319855567037,Stephanie Barry,,Christmas Island,M,Closed,1989-10-22 02:21:16,2006-08-22 19:54:23
LLFN52744203047664,Michael Wilson,,Swaziland,M,Open,1988-12-02 03:40:42,1992-06-17 14:05:32
XXEG65528920790581,Michael Bruce,,Austria,M,Hold,1986-06-20 00:34:33,2017-05-12 10:46:02
NFPS03757092143552,Susan Knight,,Dominica,F,Hold,2008-09-18 07:29:03,1983-05-16 23:36:04
EBGC59298203475639,Kenneth Payne MD,,Georgia,F,Closed,1988-05-21 14:35:26,1993-12-12 23:06:36
XYII87301956815556,Michelle Roberts,,Latvia,M,Open,1976-11-08 15:00:29,2012-03-31 21:37:15
NUJQ36040766442687,Zachary Dalton,,Serbia,F,Open,1999-05-31 00:38:37,2019-04-08 17:52:40
GLRM64163031709565,Keith Anderson,,Indonesia,F,Open,1992-09-16 01:43:34,1981-05-09 02:00:10
JBVR98458913087251,Patrick Stevens,,French Southern Territories,F,Hold,1976-03-30 10:49:26,2018-05-04 11:02:44
VBZX73036240862435,William Faulkner,,Tokelau,F,Closed,1979-04-15 19:16:31,1991-12-18 07:49:02
RESI17738824716871,Steven Terry,,Trinidad and Tobago,M,Closed,1989-05-15 10:30:26,2000-08-20 01:13:35
AQMC34655709835903,Amber Mcconnell,,Albania,F,Hold,2013-02-20 03:34:16,1975-03-01 15:04:58
RTVD40233360252400,Robert Jones,,Tajikistan,F,Open,2005-05-22 12:15:55,1997-04-26 17:10:24
DBJI26231943455271,Megan Waters,,Antigua and Barbuda,F,Closed,1998-11-01 11:49:21,2003-08-16 18:34:05
DPQP44588701918353,Michael Watkins,,Togo,M,Open,1997-07-20 01:28:15,2003-05-09 04:31:36
QMIJ52740754412485,Amanda Woods,,Uzbekistan,M,Hold,1978-04-11 00:49:46,1995-07-03 10:02:27
EOVF80930052895510,Walter Smith,,Christmas Island,M,Closed,2004-04-10 05:10:32,1974-09-23 11:46:52
LCJV57652060313579,William Werner,,Tunisia,M,Open,2015-12-20 04:15:57,2012-09-03 04:10:16
GDPA99122346898488,Teresa Barton,,Togo,M,Open,2000-12-22 13:57:10,1990-12-08 19:45:35
TZAH68299297423871,Matthew Parker,,Korea,M,Hold,1991-12-25 21:21:53,1970-02-26 14:02:18
TIMC31925338050101,Sheila Thompson,,Norway,F,Hold,2008-08-17 00:07:28,1996-11-18 23:08:25
UGQU37905901285104,Rebecca Castro,,Togo,F,Hold,1986-02-06 12:44:38,2019-10-01 05:07:57
SGFO55035040479986,Ronnie Jacobs,,Tuvalu,F,Hold,1988-06-19 18:17:44,1993-02-24 04:57:09
VYTP68543492510401,Zachary Chen,,Gabon,M,Hold,1996-06-21 17:31:14,1976-06-07 14:43:11
MAGO13620253412726,Donna Allen,,Antigua and Barbuda,M,Hold,2019-06-11 21:51:46,2014-04-10 16:22:31
MVUF44738540588106,Andrew Davis,,Tuvalu,M,Hold,1972-09-20 08:34:55,2022-04-17 09:18:50
NONB87209209438676,Sheila Lewis,,Rwanda,F,Closed,2009-09-15 10:22:31,1994-02-03 00:28:51
ENXM10132522664562,Leonard Brown,,Zimbabwe,M,Hold,1991-07-04 16:01:19,1977-07-01 14:50:05
APEQ00238268024458,Clayton Lawson,,United States Virgin Islands,M,Closed,2006-02-11 21:06:03,2014-09-27 15:15:48
GMDM40548560841923,Heather Kelly MD,,Gambia,F,Hold,1975-10-17 04:01:14,1985-08-11 19:09:10
BLYU37936047131165,Chase Chang,,Mali,M,Open,1982-01-19 04:16:34,1995-08-24 21:21:45
ZFEQ47921070914581,Jonathan Malone,,Libyan Arab Jamahiriya,M,Open,2014-07-11 01:25:07,1974-03-29 15:10:00
AUFZ53478893539931,Stacy Martinez,,Sao Tome and Principe,F,Hold,1989-04-14 06:38:39,1979-03-14 06:54:14
EMJH91099789093741,Sarah Farmer,,Mongolia,M,Hold,1994-07-03 14:39:38,1970-07-06 22:14:52
HWDY86674734582362,Robert Guerrero,,Ethiopia,F,Hold,1982-02-05 10:02:08,1985-11-25 09:13:07
YSVH25190237388805,Luis Anderson,,Cape Verde,M,Open,2013-04-13 02:59:35,1992-10-15 11:56:04
QFLZ97757132410194,Brian Hill,,Gambia,M,Hold,1990-01-23 17:38:03,2018-05-06 15:35:01
KEPW62142037445587,Chelsea Bennett,,Fiji,M,Hold,1976-08-05 09:00:52,2013-09-19 14:20:25
